0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5098,5267,5129,5172,5070,5211,5418,5073,5148,5095,5315,5261,5018,5239,5230,5158,5272,5163,5234,5081,5175,5142,5374,5214,5182,5297,5071,5351,5059,5257,5113,5108,5013,5097,5194,5290,5110,5350,5276,5092,5161,4915,5117,5112,5112,4878,5121,4995,5197,4896,4859,5204,5215,5130,5331,5401,5087,5205,5124,4975,5237,5105,5161,5210,5118,5283,5145,5217,5346,5044,5147,5002,5299,5095,5270,5044,5051,5192,5177,5161,5025,4966,5035,5203,4904,5314,5204,5157,5031,5232,5046,5258,5288,5135,5287,5000,5211,5147,5193,5011
6000,6071,6071,6090,5951,5998,6170,5980,5815,5910,6053,6227,5963,6163,5988,5822,6075,5855,6204,5925,6054,6260,6159,5981,5803,5951,5959,6071,5993,6134,5839,6027,5890,5898,6019,6097,5933,6256,6136,5854,6136,5719,6020,5806,5968,5761,5949,5851,6062,5671,5652,6208,6080,5874,6113,6201,5926,5986,5880,5769,5924,6165,5892,6026,5786,6058,5975,5968,6284,6070,5879,5980,6163,5906,5885,5847,5821,6097,6018,6046,5934,5865,5930,6128,5887,6152,5974,5981,5931,6121,5777,5922,6177,6007,6116,5854,6159,6143,5997,5954
9435,9342,9477,9443,9460,9559,9538,9290,9387,9254,9391,9600,9544,9485,9469,9421,9702,9357,9640,9460,9465,9736,9615,9447,9440,9436,9256,9372,9173,9659,9327,9296,9287,9147,9603,9704,9422,9746,9663,9555,9488,9244,9362,9304,9330,9168,9410,9427,9613,9299,9092,9714,9386,9425,9564,9716,9351,9368,9468,9105,9392,9603,9267,9457,9069,9637,9229,9343,9559,9697,9382,9422,9636,9391,9497,9104,9303,9543,9497,9316,9643,9346,9010,9773,9257,9590,9310,9251,9247,9426,9170,9413,9531,9506,9608,9264,9589,9632,9451,9434
10704,10598,10746,10781,10749,10966,10680,10736,10588,10362,10863,10891,10651,10806,10837,10579,10739,10868,10788,10604,10806,10860,10928,10719,10671,10530,10617,10711,10620,10924,10652,10781,10567,10571,10915,11166,10587,10917,10885,10704,10689,10642,10589,10280,10606,10607,10802,10860,11149,10545,10376,10974,10692,10671,10742,11067,10670,10684,10591,10449,10776,10786,10704,10705,10430,10679,10645,10679,10873,10951,10464,10715,10920,10656,10898,10473,10583,10809,10916,10646,11022,10619,10651,10978,10706,10829,10523,10591,10610,10783,10616,10913,10780,10675,10916,10755,10909,10886,10825,10547
11934,11964,12006,12309,12010,12262,11846,11812,11817,11701,12151,12057,12130,12091,12202,11951,11996,11991,12159,11877,11973,12338,12193,11917,11892,11840,11970,11914,12014,12580,11926,12059,11710,11754,11996,12202,12035,12444,12120,12044,11978,12149,11864,11591,12228,11775,12139,11956,12275,11878,11730,12251,11958,11985,11920,12213,11823,11842,12067,11865,11956,12016,12044,12059,11940,11947,11875,11883,12258,12267,11987,12113,12100,12007,12114,11876,11840,12274,12198,11768,12351,11915,11722,12103,11930,11798,11924,11945,11873,11960,11900,12224,11875,11894,12071,12058,12042,12417,12058,11943
12041,11704,12064,12306,11899,12021,11941,11623,11637,11653,12074,12120,11886,11954,11940,12011,11736,11984,12025,12003,11937,11880,12083,11709,11858,11780,11889,11712,11888,12358,11740,11981,11748,11680,11998,12265,11816,12322,11911,12262,11851,11945,11893,11524,11894,11841,11956,11998,12229,11740,11869,12110,12067,12093,12027,11779,11981,11688,12069,11912,11865,12171,11690,11963,11845,12107,11748,11894,12166,12221,11804,12029,12100,11820,12025,11827,11764,12345,12001,11853,12231,12019,11749,11957,11784,11990,11788,11896,11850,11913,11790,12068,11954,12014,11797,11890,12012,12191,12016,11854
12478,12216,12315,12548,12544,12345,12244,12421,12169,12081,12461,12332,12606,12401,12596,12348,12181,12312,12545,12101,12157,12362,12265,12139,12246,12105,12466,12313,12301,12764,12327,12368,12154,12023,12418,12491,12378,12716,12440,12406,12335,12310,12297,11956,12509,12175,12205,12296,12548,12265,12427,12564,12119,12539,12353,12476,12538,12278,12503,12305,12207,12469,12172,12479,12287,12571,12221,12300,12551,12785,12262,12163,12300,12380,12288,12158,12262,12655,12641,12097,12841,12302,12239,12500,12388,12264,11968,12349,12265,12437,12338,12381,12205,12111,12269,12317,12543,12701,12438,12258
12264,11692,12210,12373,12187,12083,12017,11997,12175,12051,12301,12071,12190,12182,12356,12282,12103,12135,12060,12024,12153,12291,12034,11789,12077,11899,12269,12190,12284,12692,12125,12356,12162,11895,12235,12304,12102,12313,12216,12449,12188,11817,12039,11999,12211,12031,12219,12214,12378,12085,12213,12240,12060,12362,12104,12265,12277,11945,12248,12131,12071,12214,11969,12098,11983,12174,12007,12027,12424,12391,12063,12187,12089,12158,11994,11979,12112,12205,12209,11822,12281,12126,12090,12209,12071,11871,11846,12324,12064,12215,12184,12119,12160,11917,12109,12260,12315,12407,12232,12269
11502,11251,11339,11590,11551,11470,11190,11306,11346,11215,11530,11290,11610,11356,11429,11540,11597,11501,11440,11359,11257,11419,11504,11228,11452,11203,11324,11297,11544,11962,11243,11562,11162,11260,11601,11607,11389,11687,11716,11733,11389,11402,11501,11343,11537,11459,11483,11542,11647,11204,11515,11729,11348,11609,11488,11458,11484,11247,11497,11180,11466,11673,11204,11262,11227,11511,11333,11470,11617,11505,11278,11681,11520,11376,11451,11143,11456,11539,11546,11267,11589,11641,11232,11567,11369,11311,11164,11610,11403,11454,11597,11445,11449,11413,11537,11442,11378,11876,11427,11454
